    9.5000 MB /   1.00 sec =   79.8612 Mbps
    9.5625 MB /   1.00 sec =   80.0850 Mbps
    9.5625 MB /   1.00 sec =   80.2027 Mbps
    9.5000 MB /   1.00 sec =   79.8021 Mbps
    9.5000 MB /   1.00 sec =   79.7411 Mbps
    9.5625 MB /   1.00 sec =   80.0699 Mbps
    9.6250 MB /   1.00 sec =   80.4150 Mbps
    9.4375 MB /   0.99 sec =   79.5713 Mbps
    9.5625 MB /   1.00 sec =   80.2678 Mbps
    9.6250 MB /   1.01 sec =   80.2224 Mbps
    9.4375 MB /   1.00 sec =   79.5285 Mbps
    9.6250 MB /   1.00 sec =   80.3817 Mbps
    9.5000 MB /   0.99 sec =   80.2047 Mbps
    9.4375 MB /   1.00 sec =   79.1528 Mbps
    9.6250 MB /   1.00 sec =   80.6847 Mbps
    9.5625 MB /   1.00 sec =   80.0312 Mbps
    9.5000 MB /   1.00 sec =   79.8889 Mbps
    9.5625 MB /   1.00 sec =   80.1694 Mbps
    9.5625 MB /   1.01 sec =   79.7926 Mbps
    9.5000 MB /   1.00 sec =   79.9847 Mbps
    9.5000 MB /   1.00 sec =   79.8943 Mbps
    9.5625 MB /   1.00 sec =   79.8540 Mbps
    9.5625 MB /   1.00 sec =   80.4745 Mbps
    9.5000 MB /   1.00 sec =   79.8288 Mbps
    9.5625 MB /   1.01 sec =   79.7958 Mbps
    9.5000 MB /   1.00 sec =   80.0333 Mbps
    9.5625 MB /   1.00 sec =   80.3250 Mbps
    9.5000 MB /   1.00 sec =   79.6418 Mbps
    9.5625 MB /   1.00 sec =   80.0060 Mbps
    9.5625 MB /   1.00 sec =   80.0609 Mbps
    9.5625 MB /   1.00 sec =   80.1680 Mbps
    9.5000 MB /   1.00 sec =   80.0899 Mbps
    9.5625 MB /   1.01 sec =   79.7468 Mbps
    9.5000 MB /   0.99 sec =   80.0993 Mbps
    9.5625 MB /   1.00 sec =   80.2139 Mbps
    9.5625 MB /   1.01 sec =   79.8040 Mbps
    9.5000 MB /   0.99 sec =   80.1428 Mbps
    9.5000 MB /   1.00 sec =   79.7612 Mbps
    9.7500 MB /   1.02 sec =   79.9530 Mbps
    9.3125 MB /   0.98 sec =   79.9332 Mbps
    9.5625 MB /   1.00 sec =   80.0203 Mbps
   10.3125 MB /   1.08 sec =   80.2221 Mbps
    8.7500 MB /   0.92 sec =   79.9042 Mbps
    9.5625 MB /   1.00 sec =   79.9175 Mbps
    9.5000 MB /   1.00 sec =   79.9437 Mbps
    9.5625 MB /   1.00 sec =   80.1451 Mbps
    9.5625 MB /   1.00 sec =   80.3204 Mbps
    9.5000 MB /   1.00 sec =   79.4926 Mbps
    9.5625 MB /   1.00 sec =   80.2764 Mbps
    9.6250 MB /   1.01 sec =   79.8864 Mbps
    9.4375 MB /   0.99 sec =   79.9335 Mbps
    9.5625 MB /   1.00 sec =   80.3603 Mbps
    9.5000 MB /   1.00 sec =   79.6420 Mbps
    9.6875 MB /   1.02 sec =   79.8630 Mbps
    9.4375 MB /   0.98 sec =   80.6006 Mbps
    9.5625 MB /   1.00 sec =   79.8193 Mbps
    9.4375 MB /   1.00 sec =   79.5323 Mbps
    9.5625 MB /   1.00 sec =   80.1214 Mbps
    9.6250 MB /   1.01 sec =   80.3063 Mbps
    9.4375 MB /   0.99 sec =   79.8408 Mbps
    9.5625 MB /   1.00 sec =   80.0162 Mbps
    9.5000 MB /   1.00 sec =   79.9061 Mbps
    9.6250 MB /   1.00 sec =   80.4255 Mbps
    9.4375 MB /   1.00 sec =   79.4016 Mbps
    9.5625 MB /   1.00 sec =   80.1626 Mbps
    9.5625 MB /   1.00 sec =   80.2279 Mbps
    9.5625 MB /   1.00 sec =   80.1951 Mbps
    9.5000 MB /   1.00 sec =   79.7899 Mbps
    9.5625 MB /   1.00 sec =   80.1894 Mbps
    9.5000 MB /   1.00 sec =   79.5685 Mbps
    9.5625 MB /   1.00 sec =   80.3591 Mbps
    9.5625 MB /   1.00 sec =   79.9370 Mbps
    9.5000 MB /   1.00 sec =   79.7170 Mbps
    9.5000 MB /   1.00 sec =   79.8991 Mbps
    9.6250 MB /   1.00 sec =   80.4039 Mbps
    9.5625 MB /   1.01 sec =   79.6072 Mbps
    9.4375 MB /   0.99 sec =   80.1703 Mbps
    9.5625 MB /   1.00 sec =   80.2237 Mbps
    9.5625 MB /   1.00 sec =   80.1287 Mbps
    9.7500 MB /   1.02 sec =   79.9706 Mbps
    9.3125 MB /   0.98 sec =   79.8377 Mbps
    9.5000 MB /   1.00 sec =   79.9061 Mbps
    9.5625 MB /   1.00 sec =   80.0988 Mbps
    9.5625 MB /   1.00 sec =   79.9379 Mbps
    9.5625 MB /   1.00 sec =   80.2369 Mbps
    9.5000 MB /   1.00 sec =   79.9061 Mbps
    9.5625 MB /   1.00 sec =   80.1596 Mbps
    9.3750 MB /   1.00 sec =   78.5362 Mbps
    9.6250 MB /   1.00 sec =   80.9792 Mbps
    9.5625 MB /   1.00 sec =   80.0727 Mbps
    9.5000 MB /   1.00 sec =   79.8312 Mbps
    9.5625 MB /   1.00 sec =   80.2388 Mbps
    9.5625 MB /   1.00 sec =   80.0292 Mbps
    9.5625 MB /   1.00 sec =   80.1775 Mbps
    9.5000 MB /   1.00 sec =   79.8743 Mbps
    9.5000 MB /   1.00 sec =   79.5903 Mbps
    9.6250 MB /   1.00 sec =   80.5318 Mbps
    9.5000 MB /   1.00 sec =   79.8111 Mbps
    9.5625 MB /   1.00 sec =   79.8560 Mbps
    9.5000 MB /   1.00 sec =   80.0482 Mbps
    9.5000 MB /   1.00 sec =   79.7374 Mbps
    9.5625 MB /   1.00 sec =   80.4154 Mbps
    9.5625 MB /   1.01 sec =   79.7885 Mbps
    9.5000 MB /   0.99 sec =   80.1049 Mbps
    9.5625 MB /   1.00 sec =   80.2813 Mbps
    9.5000 MB /   1.00 sec =   79.5992 Mbps
    9.5625 MB /   1.00 sec =   80.1251 Mbps
