nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 1
    9.5625 MB /   1.00 sec =   79.9980 Mbps
    9.5000 MB /   1.00 sec =   79.8371 Mbps
    9.5000 MB /   1.00 sec =   79.7794 Mbps
    9.5625 MB /   1.00 sec =   80.0391 Mbps
    9.5625 MB /   1.00 sec =   80.2226 Mbps
    9.5000 MB /   1.00 sec =   79.8340 Mbps
    9.6250 MB /   1.01 sec =   79.9968 Mbps
    9.5000 MB /   0.99 sec =   80.3430 Mbps
    9.5000 MB /   1.00 sec =   79.7330 Mbps
    9.6875 MB /   1.02 sec =   80.0511 Mbps
    9.3750 MB /   0.98 sec =   79.8470 Mbps
    9.6875 MB /   1.01 sec =   80.3491 Mbps
    9.3750 MB /   0.99 sec =   79.6707 Mbps
    9.5625 MB /   1.00 sec =   80.1749 Mbps
    9.5625 MB /   1.00 sec =   80.1600 Mbps
    9.5000 MB /   1.00 sec =   79.7178 Mbps
    9.5625 MB /   1.00 sec =   80.1693 Mbps
    9.5000 MB /   1.00 sec =   79.7973 Mbps
    9.5625 MB /   1.00 sec =   80.0699 Mbps
    9.5625 MB /   1.00 sec =   79.9932 Mbps
    9.6250 MB /   1.01 sec =   80.2168 Mbps
    9.4375 MB /   0.99 sec =   80.0768 Mbps
    9.5000 MB /   1.00 sec =   79.6154 Mbps
    9.5625 MB /   1.00 sec =   80.1476 Mbps
    9.5625 MB /   1.00 sec =   80.3614 Mbps
    9.5000 MB /   1.00 sec =   79.6394 Mbps
    9.5625 MB /   1.00 sec =   80.1126 Mbps
    9.5000 MB /   1.00 sec =   79.7454 Mbps
    9.6250 MB /   1.01 sec =   80.0907 Mbps
    9.4375 MB /   0.99 sec =   79.8475 Mbps
    9.5625 MB /   1.00 sec =   80.2077 Mbps
    9.5000 MB /   1.00 sec =   79.7271 Mbps
    9.5625 MB /   1.00 sec =   80.1259 Mbps
    9.9375 MB /   1.04 sec =   79.9291 Mbps
    9.1875 MB /   0.96 sec =   80.2677 Mbps
    9.5000 MB /   1.00 sec =   79.9612 Mbps
    9.5625 MB /   1.00 sec =   80.2686 Mbps
    9.5625 MB /   1.00 sec =   79.8287 Mbps
    9.5000 MB /   1.00 sec =   79.7245 Mbps
    9.5000 MB /   1.00 sec =   80.0011 Mbps
    9.5625 MB /   1.00 sec =   80.3034 Mbps
    9.5000 MB /   1.00 sec =   79.6789 Mbps
    9.5625 MB /   1.00 sec =   80.0858 Mbps
    9.5625 MB /   1.00 sec =   80.2768 Mbps
    9.5000 MB /   1.00 sec =   79.7903 Mbps
    9.5625 MB /   1.00 sec =   80.1001 Mbps
    9.5625 MB /   1.01 sec =   79.7609 Mbps
    9.5625 MB /   1.00 sec =   80.0413 Mbps
    9.5000 MB /   1.00 sec =   80.0675 Mbps
    9.5000 MB /   1.00 sec =   80.0531 Mbps
    9.5625 MB /   1.00 sec =   80.0897 Mbps
    9.5000 MB /   1.00 sec =   79.8141 Mbps
    9.5625 MB /   1.00 sec =   80.1102 Mbps
    9.5000 MB /   1.00 sec =   79.6854 Mbps
    9.5625 MB /   1.00 sec =   80.2246 Mbps
    9.5625 MB /   1.01 sec =   79.7411 Mbps
    9.5000 MB /   0.99 sec =   80.2387 Mbps
    9.5625 MB /   1.00 sec =   80.2523 Mbps
    9.6875 MB /   1.02 sec =   79.9466 Mbps
    9.3750 MB /   0.99 sec =   79.8207 Mbps
    9.5625 MB /   1.00 sec =   80.2676 Mbps
    9.5000 MB /   1.00 sec =   79.7785 Mbps
    9.5625 MB /   1.00 sec =   80.0771 Mbps
    9.5000 MB /   1.00 sec =   79.6761 Mbps
    9.5625 MB /   1.00 sec =   80.3099 Mbps
    9.5000 MB /   1.00 sec =   79.7395 Mbps
    9.5625 MB /   1.00 sec =   80.1056 Mbps
    9.5625 MB /   1.00 sec =   80.1561 Mbps
    9.5625 MB /   1.00 sec =   79.9579 Mbps
    9.5000 MB /   1.00 sec =   79.9807 Mbps
    9.5000 MB /   1.00 sec =   79.7320 Mbps
    9.5625 MB /   1.00 sec =   80.3159 Mbps
    9.5625 MB /   1.00 sec =   80.0215 Mbps
    9.5625 MB /   1.00 sec =   80.2645 Mbps
    9.5000 MB /   1.00 sec =   79.7236 Mbps
    9.5000 MB /   1.00 sec =   79.8176 Mbps
    9.5625 MB /   1.00 sec =   80.1797 Mbps
    9.5625 MB /   1.00 sec =   80.1062 Mbps
    9.5000 MB /   1.00 sec =   79.8184 Mbps
    9.5625 MB /   1.00 sec =   80.1586 Mbps
    9.5000 MB /   1.00 sec =   79.7725 Mbps
    9.5625 MB /   1.00 sec =   80.1318 Mbps
    9.5000 MB /   1.00 sec =   79.7831 Mbps
    9.5625 MB /   1.00 sec =   80.2182 Mbps
    9.5625 MB /   1.00 sec =   80.1589 Mbps
    9.8125 MB /   1.03 sec =   79.8846 Mbps
    9.2500 MB /   0.97 sec =   79.9446 Mbps
    9.5625 MB /   1.00 sec =   79.8783 Mbps
    9.5000 MB /   0.99 sec =   80.1330 Mbps
    9.5625 MB /   1.00 sec =   80.2538 Mbps
    9.5000 MB /   1.00 sec =   79.6347 Mbps
    9.5625 MB /   1.00 sec =   80.2663 Mbps
    9.5000 MB /   1.00 sec =   79.6447 Mbps
    9.5625 MB /   1.00 sec =   80.1842 Mbps
    9.5625 MB /   1.00 sec =   80.1160 Mbps
    9.5000 MB /   1.00 sec =   79.8786 Mbps
    9.5625 MB /   1.00 sec =   80.1071 Mbps
    9.5000 MB /   1.00 sec =   79.7993 Mbps
    9.5625 MB /   1.00 sec =   80.1109 Mbps
    9.5625 MB /   1.00 sec =   80.3136 Mbps
    9.4375 MB /   1.00 sec =   79.1451 Mbps
    9.6250 MB /   1.00 sec =   80.4617 Mbps
    9.5000 MB /   1.00 sec =   79.9801 Mbps
    9.5625 MB /   1.00 sec =   80.1666 Mbps
    9.5000 MB /   1.00 sec =   79.7257 Mbps
   11.0000 MB /   1.15 sec =   80.0817 Mbps
    8.1250 MB /   0.85 sec =   80.3922 Mbps
    9.5000 MB /   1.00 sec =   79.5820 Mbps
    9.5625 MB /   1.00 sec =   80.3314 Mbps
    9.5625 MB /   1.01 sec =   79.8019 Mbps
    9.5000 MB /   1.00 sec =   79.8149 Mbps
   10.0000 MB /   1.05 sec =   80.1567 Mbps
    9.0625 MB /   0.95 sec =   79.9806 Mbps
    9.5625 MB /   1.00 sec =   80.0898 Mbps
    9.7500 MB /   1.02 sec =   79.9519 Mbps
    9.3125 MB /   0.98 sec =   80.0337 Mbps
    9.5625 MB /   1.00 sec =   80.1794 Mbps
    9.5000 MB /   1.00 sec =   79.8145 Mbps
    9.5625 MB /   1.00 sec =   80.2408 Mbps
    9.5625 MB /   1.00 sec =   80.0143 Mbps
    9.5000 MB /   1.00 sec =   79.7183 Mbps
    9.6875 MB /   1.02 sec =   79.7339 Mbps
    9.3750 MB /   0.98 sec =   80.2088 Mbps
    9.5625 MB /   1.00 sec =   80.2701 Mbps
    9.5625 MB /   1.00 sec =   80.1520 Mbps
    9.5000 MB /   1.00 sec =   79.8229 Mbps
    9.5000 MB /   1.00 sec =   79.6923 Mbps
    9.5625 MB /   1.00 sec =   80.2214 Mbps
    9.5625 MB /   1.00 sec =   80.0974 Mbps
    9.5625 MB /   1.00 sec =   80.1672 Mbps
    9.5000 MB /   1.00 sec =   79.7526 Mbps
    9.5000 MB /   1.00 sec =   79.8126 Mbps
    9.5625 MB /   1.00 sec =   80.0965 Mbps
