    9.5000 MB /   1.00 sec =   79.6966 Mbps
    9.5625 MB /   1.00 sec =   80.2134 Mbps
    9.5000 MB /   1.00 sec =   79.6946 Mbps
    9.5625 MB /   1.00 sec =   80.2125 Mbps
    9.5000 MB /   1.00 sec =   79.6855 Mbps
    9.5625 MB /   1.00 sec =   80.2178 Mbps
    9.5625 MB /   1.00 sec =   80.2234 Mbps
    9.5000 MB /   1.00 sec =   79.6848 Mbps
    9.5625 MB /   1.00 sec =   80.2259 Mbps
    9.5000 MB /   1.00 sec =   79.6780 Mbps
    9.5625 MB /   1.00 sec =   80.2238 Mbps
    9.5625 MB /   1.00 sec =   80.2175 Mbps
    9.5000 MB /   1.00 sec =   79.6782 Mbps
    9.5625 MB /   1.00 sec =   80.2307 Mbps
    9.5000 MB /   1.00 sec =   79.6817 Mbps
    9.5625 MB /   1.00 sec =   80.1965 Mbps
    9.5000 MB /   1.00 sec =   79.7155 Mbps
    9.5625 MB /   1.00 sec =   80.2185 Mbps
    9.5625 MB /   1.00 sec =   80.2174 Mbps
    9.5000 MB /   1.00 sec =   79.6912 Mbps
    9.5625 MB /   1.00 sec =   80.2142 Mbps
    9.5000 MB /   1.00 sec =   79.6956 Mbps
    9.5625 MB /   1.00 sec =   80.2155 Mbps
    9.5625 MB /   1.00 sec =   80.2129 Mbps
    9.5000 MB /   1.00 sec =   79.6965 Mbps
    9.5625 MB /   1.00 sec =   80.2096 Mbps
    9.5000 MB /   1.00 sec =   79.6952 Mbps
    9.5625 MB /   1.00 sec =   80.2185 Mbps
    9.5000 MB /   1.00 sec =   79.6895 Mbps
    9.5625 MB /   1.00 sec =   80.2156 Mbps
    9.5625 MB /   1.00 sec =   80.2180 Mbps
    9.5000 MB /   1.00 sec =   79.6899 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5000 MB /   1.00 sec =   79.6868 Mbps
    9.5625 MB /   1.00 sec =   80.2202 Mbps
    9.5625 MB /   1.00 sec =   80.2137 Mbps
    9.5000 MB /   1.00 sec =   79.6938 Mbps
    9.5625 MB /   1.00 sec =   80.2016 Mbps
    9.5000 MB /   1.00 sec =   79.7065 Mbps
    9.5625 MB /   1.00 sec =   80.2137 Mbps
    9.5625 MB /   1.00 sec =   80.2159 Mbps
    9.5000 MB /   1.00 sec =   79.6917 Mbps
    9.5625 MB /   1.00 sec =   80.2177 Mbps
    9.5000 MB /   1.00 sec =   79.6860 Mbps
    9.5625 MB /   1.00 sec =   80.2199 Mbps
    9.5625 MB /   1.00 sec =   80.2217 Mbps
    9.5000 MB /   1.00 sec =   79.6847 Mbps
    9.5625 MB /   1.00 sec =   80.2180 Mbps
    9.5000 MB /   1.00 sec =   79.6828 Mbps
    9.5625 MB /   1.00 sec =   80.2275 Mbps
    9.5000 MB /   1.00 sec =   79.6900 Mbps
    9.5625 MB /   1.00 sec =   80.2206 Mbps
    9.5625 MB /   1.00 sec =   80.2121 Mbps
    9.5000 MB /   1.00 sec =   79.6938 Mbps
    9.5625 MB /   1.00 sec =   80.2150 Mbps
    9.5000 MB /   1.00 sec =   79.6961 Mbps
    9.5625 MB /   1.00 sec =   80.2146 Mbps
    9.5625 MB /   1.00 sec =   80.2167 Mbps
    9.5000 MB /   1.00 sec =   79.6910 Mbps
    9.5625 MB /   1.00 sec =   80.2155 Mbps
    9.5000 MB /   1.00 sec =   79.6865 Mbps
    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5625 MB /   1.00 sec =   80.2158 Mbps
    9.5000 MB /   1.00 sec =   79.6907 Mbps
    9.5625 MB /   1.00 sec =   80.2192 Mbps
    9.5000 MB /   1.00 sec =   79.6880 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5000 MB /   1.00 sec =   79.6967 Mbps
    9.5625 MB /   1.00 sec =   80.2087 Mbps
    9.5625 MB /   1.00 sec =   80.2215 Mbps
    9.5000 MB /   1.00 sec =   79.6928 Mbps
    9.5625 MB /   1.00 sec =   80.2120 Mbps
    9.5000 MB /   1.00 sec =   79.6906 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5625 MB /   1.00 sec =   80.2154 Mbps
    9.5000 MB /   1.00 sec =   79.6932 Mbps
    9.5625 MB /   1.00 sec =   80.2141 Mbps
    9.5000 MB /   1.00 sec =   79.6924 Mbps
    9.5625 MB /   1.00 sec =   80.2140 Mbps
    9.5625 MB /   1.00 sec =   80.2188 Mbps
    9.5000 MB /   1.00 sec =   79.6915 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5000 MB /   1.00 sec =   79.6867 Mbps
    9.5625 MB /   1.00 sec =   80.2181 Mbps
    9.5000 MB /   1.00 sec =   79.6942 Mbps
    9.5625 MB /   1.00 sec =   80.2125 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5000 MB /   1.00 sec =   79.6879 Mbps
    9.5625 MB /   1.00 sec =   80.2207 Mbps
    9.5000 MB /   1.00 sec =   79.6868 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5625 MB /   1.00 sec =   80.1741 Mbps
    9.5000 MB /   1.00 sec =   79.7301 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5000 MB /   1.00 sec =   79.6929 Mbps
