    9.5000 MB /   1.00 sec =   79.6897 Mbps
    9.5625 MB /   1.00 sec =   80.2132 Mbps
    9.5000 MB /   1.00 sec =   79.6931 Mbps
    9.5625 MB /   1.00 sec =   80.2203 Mbps
    9.5000 MB /   1.00 sec =   79.6247 Mbps
    9.5625 MB /   1.00 sec =   80.2834 Mbps
    9.5625 MB /   1.00 sec =   80.2044 Mbps
    9.5000 MB /   1.00 sec =   79.6949 Mbps
    9.5625 MB /   1.00 sec =   80.2154 Mbps
    9.5000 MB /   1.00 sec =   79.6962 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5000 MB /   1.00 sec =   79.6894 Mbps
    9.5625 MB /   1.00 sec =   80.2176 Mbps
    9.5000 MB /   1.00 sec =   79.6917 Mbps
    9.5625 MB /   1.00 sec =   80.2116 Mbps
    9.5000 MB /   1.00 sec =   79.6979 Mbps
    9.5625 MB /   1.00 sec =   80.2117 Mbps
    9.5625 MB /   1.00 sec =   80.2172 Mbps
    9.5000 MB /   1.00 sec =   79.6931 Mbps
    9.5625 MB /   1.00 sec =   80.2072 Mbps
    9.5000 MB /   1.00 sec =   79.6887 Mbps
    9.5625 MB /   1.00 sec =   80.2206 Mbps
    9.5625 MB /   1.00 sec =   80.2179 Mbps
    9.5000 MB /   1.00 sec =   79.6960 Mbps
    9.5625 MB /   1.00 sec =   80.2117 Mbps
    9.5000 MB /   1.00 sec =   79.6981 Mbps
    9.5625 MB /   1.00 sec =   80.2118 Mbps
    9.5625 MB /   1.00 sec =   80.2128 Mbps
    9.5000 MB /   1.00 sec =   79.6963 Mbps
    9.5625 MB /   1.00 sec =   80.2162 Mbps
    9.5000 MB /   1.00 sec =   79.6873 Mbps
    9.5625 MB /   1.00 sec =   80.2218 Mbps
    9.5625 MB /   1.00 sec =   80.2172 Mbps
    9.5000 MB /   1.00 sec =   79.6887 Mbps
    9.5625 MB /   1.00 sec =   80.1943 Mbps
    9.5000 MB /   1.00 sec =   79.7184 Mbps
    9.5625 MB /   1.00 sec =   80.2051 Mbps
    9.5000 MB /   1.00 sec =   79.7035 Mbps
    9.5625 MB /   1.00 sec =   80.2118 Mbps
    9.5625 MB /   1.00 sec =   80.2163 Mbps
    9.5000 MB /   1.00 sec =   79.6905 Mbps
    9.5625 MB /   1.00 sec =   80.2096 Mbps
    9.5000 MB /   1.00 sec =   79.7010 Mbps
    9.5625 MB /   1.00 sec =   80.2155 Mbps
    9.5625 MB /   1.00 sec =   80.2179 Mbps
    9.5000 MB /   1.00 sec =   79.6624 Mbps
    9.5625 MB /   1.00 sec =   80.2328 Mbps
    9.5000 MB /   1.00 sec =   79.6909 Mbps
    9.5625 MB /   1.00 sec =   80.2109 Mbps
    9.5625 MB /   1.00 sec =   80.2321 Mbps
    9.5000 MB /   1.00 sec =   79.6889 Mbps
    9.5625 MB /   1.00 sec =   80.2091 Mbps
    9.5000 MB /   1.00 sec =   79.7006 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6882 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5625 MB /   1.00 sec =   80.2214 Mbps
    9.5000 MB /   1.00 sec =   79.6710 Mbps
    9.5625 MB /   1.00 sec =   80.2339 Mbps
    9.5000 MB /   1.00 sec =   79.6569 Mbps
    9.5625 MB /   1.00 sec =   80.2520 Mbps
    9.5625 MB /   1.00 sec =   80.2111 Mbps
    9.5000 MB /   1.00 sec =   79.6492 Mbps
    9.5625 MB /   1.00 sec =   80.2616 Mbps
    9.5000 MB /   1.00 sec =   79.6923 Mbps
    9.5625 MB /   1.00 sec =   80.2119 Mbps
    9.5625 MB /   1.00 sec =   80.2199 Mbps
    9.5000 MB /   1.00 sec =   79.6945 Mbps
    9.5625 MB /   1.00 sec =   80.2070 Mbps
    9.5000 MB /   1.00 sec =   79.6915 Mbps
    9.5625 MB /   1.00 sec =   80.2202 Mbps
    9.5000 MB /   1.00 sec =   79.6956 Mbps
    9.5625 MB /   1.00 sec =   80.2039 Mbps
    9.5625 MB /   1.00 sec =   80.2265 Mbps
    9.5000 MB /   1.00 sec =   79.6872 Mbps
    9.5625 MB /   1.00 sec =   80.2237 Mbps
    9.5000 MB /   1.00 sec =   79.6919 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5625 MB /   1.00 sec =   80.1315 Mbps
    9.5000 MB /   1.00 sec =   79.7715 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5000 MB /   1.00 sec =   79.6873 Mbps
    9.5625 MB /   1.00 sec =   80.2176 Mbps
    9.5000 MB /   1.00 sec =   79.6924 Mbps
    9.5625 MB /   1.00 sec =   80.2213 Mbps
    9.5625 MB /   1.00 sec =   80.2107 Mbps
    9.5000 MB /   1.00 sec =   79.6946 Mbps
    9.5625 MB /   1.00 sec =   80.2136 Mbps
    9.5000 MB /   1.00 sec =   79.6965 Mbps
    9.5625 MB /   1.00 sec =   80.2154 Mbps
    9.5625 MB /   1.00 sec =   80.2170 Mbps
    9.5000 MB /   1.00 sec =   79.6900 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6860 Mbps
    9.5625 MB /   1.00 sec =   80.2222 Mbps
    9.5000 MB /   1.00 sec =   79.6931 Mbps
    9.5625 MB /   1.00 sec =   80.1947 Mbps
    9.5625 MB /   1.00 sec =   80.2141 Mbps
    9.5000 MB /   1.00 sec =   79.7041 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5000 MB /   1.00 sec =   79.6982 Mbps
    9.5625 MB /   1.00 sec =   80.2215 Mbps
    9.5625 MB /   1.00 sec =   80.2076 Mbps
    9.5000 MB /   1.00 sec =   79.6837 Mbps
    9.5625 MB /   1.00 sec =   80.2052 Mbps
    9.5000 MB /   1.00 sec =   79.7120 Mbps
    9.5625 MB /   1.00 sec =   80.2129 Mbps
    9.5625 MB /   1.00 sec =   80.2242 Mbps
    9.5000 MB /   1.00 sec =   79.6813 Mbps
    9.5625 MB /   1.00 sec =   80.2227 Mbps
    9.5000 MB /   1.00 sec =   79.6300 Mbps
    9.5625 MB /   1.00 sec =   80.2833 Mbps
    9.5625 MB /   1.00 sec =   80.2102 Mbps
    9.5000 MB /   1.00 sec =   79.6803 Mbps
    9.5625 MB /   1.00 sec =   80.2313 Mbps
    9.5000 MB /   1.00 sec =   79.6872 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5000 MB /   1.00 sec =   79.6946 Mbps
    9.5625 MB /   1.00 sec =   80.2093 Mbps
    9.5625 MB /   1.00 sec =   80.2125 Mbps
    9.5000 MB /   1.00 sec =   79.6969 Mbps
    9.5625 MB /   1.00 sec =   80.2208 Mbps
    9.5000 MB /   1.00 sec =   79.6902 Mbps
    9.5625 MB /   1.00 sec =   80.2095 Mbps
    9.5625 MB /   1.01 sec =   79.7500 Mbps
    9.5000 MB /   0.99 sec =   80.1602 Mbps
    9.5625 MB /   1.00 sec =   80.2197 Mbps
    9.5000 MB /   1.00 sec =   79.6858 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5625 MB /   1.00 sec =   80.2271 Mbps
    9.5000 MB /   1.00 sec =   79.6709 Mbps
    9.5625 MB /   1.00 sec =   80.2230 Mbps
    9.5000 MB /   1.00 sec =   79.7013 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5000 MB /   1.00 sec =   79.6839 Mbps
    9.5625 MB /   1.00 sec =   80.2109 Mbps
    9.5625 MB /   1.00 sec =   80.2087 Mbps
    9.5000 MB /   1.00 sec =   79.7103 Mbps
    9.5625 MB /   1.00 sec =   80.1579 Mbps
    9.5000 MB /   1.00 sec =   79.7428 Mbps
    9.5625 MB /   1.00 sec =   80.2131 Mbps
    9.5625 MB /   1.00 sec =   80.2226 Mbps
    9.5000 MB /   1.00 sec =   79.6986 Mbps
    9.5625 MB /   1.00 sec =   80.2115 Mbps
    9.5000 MB /   1.00 sec =   79.6970 Mbps
    9.5625 MB /   1.00 sec =   80.2064 Mbps
    9.5000 MB /   1.00 sec =   79.6911 Mbps
    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5625 MB /   1.00 sec =   80.2022 Mbps
    9.5000 MB /   1.00 sec =   79.6951 Mbps
    9.5625 MB /   1.00 sec =   80.2288 Mbps
    9.5000 MB /   1.00 sec =   79.6835 Mbps
    9.5625 MB /   1.00 sec =   80.2177 Mbps
    9.5625 MB /   1.00 sec =   80.2174 Mbps
    9.5000 MB /   1.00 sec =   79.6917 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5000 MB /   1.00 sec =   79.6702 Mbps
    9.5625 MB /   1.00 sec =   80.2398 Mbps
    9.5625 MB /   1.00 sec =   80.2158 Mbps
    9.5000 MB /   1.00 sec =   79.6891 Mbps
    9.5625 MB /   1.00 sec =   80.2161 Mbps
    9.5000 MB /   1.00 sec =   79.6899 Mbps
    9.5625 MB /   1.00 sec =   80.2121 Mbps
    9.5625 MB /   1.00 sec =   80.2207 Mbps
    9.5000 MB /   1.00 sec =   79.6856 Mbps
    9.5625 MB /   1.00 sec =   80.2230 Mbps
    9.5000 MB /   1.00 sec =   79.7003 Mbps
    9.5625 MB /   1.00 sec =   80.1853 Mbps
    9.5000 MB /   1.00 sec =   79.7160 Mbps
    9.5625 MB /   1.00 sec =   80.2117 Mbps
    9.5625 MB /   1.00 sec =   80.2184 Mbps
    9.5000 MB /   1.00 sec =   79.6943 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5000 MB /   1.00 sec =   79.6790 Mbps
    9.5625 MB /   1.00 sec =   80.2314 Mbps
    9.5625 MB /   1.00 sec =   80.2069 Mbps
    9.5000 MB /   1.00 sec =   79.6976 Mbps
    9.5625 MB /   1.00 sec =   80.2125 Mbps
    9.5000 MB /   1.00 sec =   79.6900 Mbps
    9.5625 MB /   1.00 sec =   80.2212 Mbps
    9.5625 MB /   1.00 sec =   80.2161 Mbps
    9.5000 MB /   1.00 sec =   79.6940 Mbps
    9.5625 MB /   1.00 sec =   80.2133 Mbps
    9.5000 MB /   1.00 sec =   79.6870 Mbps

 2861.0625 MB / 300.00 sec =   80.0014 Mbps 99 %TX 0 %RX 0.73 msRTT
