    9.5625 MB /   1.00 sec =   80.2199 Mbps
    9.5000 MB /   1.00 sec =   79.6911 Mbps
    9.5625 MB /   1.00 sec =   80.2136 Mbps
    9.5000 MB /   1.00 sec =   79.6962 Mbps
    9.5625 MB /   1.00 sec =   80.2064 Mbps
    9.5625 MB /   1.00 sec =   80.2068 Mbps
    9.5000 MB /   1.00 sec =   79.7037 Mbps
    9.5625 MB /   1.00 sec =   80.2205 Mbps
    9.5000 MB /   1.00 sec =   79.6929 Mbps
    9.5625 MB /   1.00 sec =   80.1741 Mbps
    9.5000 MB /   1.00 sec =   79.7309 Mbps
    9.5625 MB /   1.00 sec =   80.1824 Mbps
    9.5625 MB /   1.00 sec =   80.2474 Mbps
    9.5000 MB /   1.00 sec =   79.6943 Mbps
    9.5625 MB /   1.00 sec =   80.2137 Mbps
    9.5000 MB /   1.00 sec =   79.6966 Mbps
    9.5625 MB /   1.00 sec =   80.2182 Mbps
    9.5625 MB /   1.00 sec =   80.2156 Mbps
    9.5000 MB /   1.00 sec =   79.6919 Mbps
    9.5625 MB /   1.00 sec =   80.2116 Mbps
    9.5000 MB /   1.00 sec =   79.6858 Mbps
    9.5625 MB /   1.00 sec =   80.2125 Mbps
    9.5000 MB /   1.00 sec =   79.6930 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5625 MB /   1.00 sec =   80.2167 Mbps
    9.5000 MB /   1.00 sec =   79.6860 Mbps
    9.5625 MB /   1.00 sec =   80.2308 Mbps
    9.5000 MB /   1.00 sec =   79.6889 Mbps
    9.5625 MB /   1.00 sec =   80.2137 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5000 MB /   1.00 sec =   79.6914 Mbps
    9.5625 MB /   1.00 sec =   80.2061 Mbps
    9.5000 MB /   1.00 sec =   79.7054 Mbps
    9.5625 MB /   1.00 sec =   80.2159 Mbps
    9.5625 MB /   1.00 sec =   80.2061 Mbps
    9.5000 MB /   1.00 sec =   79.6999 Mbps
    9.5625 MB /   1.00 sec =   80.2118 Mbps
    9.5000 MB /   1.00 sec =   79.6738 Mbps
    9.5625 MB /   1.00 sec =   80.2370 Mbps
    9.5000 MB /   1.00 sec =   79.6970 Mbps
    9.5625 MB /   1.00 sec =   80.2139 Mbps
    9.5625 MB /   1.00 sec =   80.1954 Mbps
    9.5000 MB /   1.00 sec =   79.7103 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6834 Mbps
    9.5625 MB /   1.00 sec =   80.2252 Mbps
    9.5625 MB /   1.00 sec =   80.2032 Mbps
    9.5000 MB /   1.00 sec =   79.6662 Mbps
    9.5625 MB /   1.00 sec =   80.2586 Mbps
    9.5000 MB /   1.00 sec =   79.6907 Mbps
    9.5625 MB /   1.00 sec =   80.1971 Mbps
    9.5625 MB /   1.00 sec =   80.2069 Mbps
    9.5000 MB /   1.00 sec =   79.7187 Mbps
    9.5625 MB /   1.00 sec =   80.2104 Mbps
    9.5000 MB /   1.00 sec =   79.6916 Mbps
    9.5625 MB /   1.00 sec =   80.2196 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5625 MB /   1.00 sec =   80.2145 Mbps
    9.5000 MB /   1.00 sec =   79.6968 Mbps
    9.5625 MB /   1.00 sec =   80.2078 Mbps
    9.5000 MB /   1.00 sec =   79.6843 Mbps
    9.5625 MB /   1.00 sec =   80.2301 Mbps
    9.5625 MB /   1.00 sec =   80.2100 Mbps
    9.5000 MB /   1.00 sec =   79.6843 Mbps
    9.5625 MB /   1.00 sec =   80.2013 Mbps
    9.5000 MB /   1.00 sec =   79.7158 Mbps
    9.5625 MB /   1.00 sec =   80.2118 Mbps
    9.5625 MB /   1.00 sec =   80.2229 Mbps
    9.5000 MB /   1.00 sec =   79.6864 Mbps
    9.5625 MB /   1.00 sec =   80.2263 Mbps
    9.5000 MB /   1.00 sec =   79.6862 Mbps
    9.5625 MB /   1.00 sec =   80.2212 Mbps
    9.5000 MB /   1.00 sec =   79.6891 Mbps
    9.5625 MB /   1.00 sec =   80.2106 Mbps
    9.5625 MB /   1.00 sec =   80.2145 Mbps
    9.5000 MB /   1.00 sec =   79.6961 Mbps
    9.5625 MB /   1.00 sec =   80.1880 Mbps
    9.5000 MB /   1.00 sec =   79.7116 Mbps
    9.5625 MB /   1.00 sec =   80.2201 Mbps
    9.5625 MB /   1.00 sec =   80.2235 Mbps
    9.5000 MB /   1.00 sec =   79.6936 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5000 MB /   1.00 sec =   79.6867 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6937 Mbps
    9.5625 MB /   1.00 sec =   80.2149 Mbps
    9.5625 MB /   1.00 sec =   80.2183 Mbps
    9.5000 MB /   1.00 sec =   79.6852 Mbps
    9.5625 MB /   1.00 sec =   80.2167 Mbps
    9.5000 MB /   1.00 sec =   79.6855 Mbps
    9.5625 MB /   1.00 sec =   80.2232 Mbps
    9.5625 MB /   1.00 sec =   80.1600 Mbps
    9.5000 MB /   1.00 sec =   79.7429 Mbps
    9.5625 MB /   1.00 sec =   80.2141 Mbps
    9.5000 MB /   1.00 sec =   79.6940 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5000 MB /   1.00 sec =   79.6860 Mbps
    9.5625 MB /   1.00 sec =   80.2203 Mbps
    9.5000 MB /   1.00 sec =   79.6940 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5625 MB /   1.00 sec =   80.2106 Mbps
    9.5000 MB /   1.00 sec =   79.7009 Mbps
    9.5625 MB /   1.00 sec =   80.2024 Mbps
    9.5000 MB /   1.00 sec =   79.6900 Mbps
    9.5625 MB /   1.00 sec =   80.2211 Mbps
    9.5000 MB /   1.00 sec =   79.6972 Mbps
    9.5625 MB /   1.00 sec =   80.2162 Mbps
    9.5625 MB /   1.00 sec =   80.2118 Mbps
    9.5000 MB /   1.00 sec =   79.6961 Mbps
    9.5625 MB /   1.00 sec =   80.2124 Mbps
    9.5000 MB /   1.00 sec =   79.6916 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5625 MB /   1.00 sec =   80.2217 Mbps
    9.5000 MB /   1.00 sec =   79.6905 Mbps
    9.5625 MB /   1.00 sec =   80.2167 Mbps
    9.5000 MB /   1.00 sec =   79.6920 Mbps
    9.5625 MB /   1.00 sec =   80.2011 Mbps
    9.5000 MB /   1.00 sec =   79.7071 Mbps
    9.5625 MB /   1.00 sec =   80.2175 Mbps
    9.5625 MB /   1.00 sec =   80.2104 Mbps
    9.5000 MB /   1.00 sec =   79.6984 Mbps
    9.5625 MB /   1.00 sec =   80.2130 Mbps
    9.5000 MB /   1.00 sec =   79.6842 Mbps
    9.5625 MB /   1.00 sec =   80.2224 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6885 Mbps
    9.5625 MB /   1.00 sec =   80.2224 Mbps
    9.5000 MB /   1.00 sec =   79.6891 Mbps
    9.5625 MB /   1.00 sec =   80.2177 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5000 MB /   1.00 sec =   79.6763 Mbps
    9.5625 MB /   1.00 sec =   80.2250 Mbps
    9.5000 MB /   1.00 sec =   79.7018 Mbps
    9.5625 MB /   1.00 sec =   80.2084 Mbps
    9.5625 MB /   1.00 sec =   80.2147 Mbps
    9.5000 MB /   1.00 sec =   79.6976 Mbps
    9.5625 MB /   1.00 sec =   80.2139 Mbps
